Loading base network...
Initializing weights...
Loading Dataset...
Training SSD_mobilenet ssd_new_mobilenet_FFA on Oxford hand dataset with multibox loss
Data augmentaion: v2
Timer: 3.3360 sec.
iter 0 || lr: 0.001000  || loc_loss: 25.3349  || cls_loss: 12.6550  Saving state, iter: 0
Timer: 0.0730 sec.
iter 100 || lr: 0.001000  || loc_loss: 12.9350  || cls_loss: 3.5440  Timer: 0.0713 sec.
iter 200 || lr: 0.001000  || loc_loss: 11.0546  || cls_loss: 2.6592  /home/Disk4T/lyang/anaconda3/envs/pytorch0.3/lib/python3.6/site-packages/torch/autograd/_functions/tensor.py:447: UserWarning: mask is not broadcastable to self, but they have the same number of elements.  Falling back to deprecated pointwise behavior.
  return tensor.masked_fill_(mask, value)
Timer: 0.0689 sec.
iter 300 || lr: 0.001000  || loc_loss: 8.4485  || cls_loss: 2.5713  Timer: 0.0639 sec.
iter 400 || lr: 0.001000  || loc_loss: 12.0500  || cls_loss: 2.4470  Timer: 0.0679 sec.
iter 500 || lr: 0.001000  || loc_loss: 10.0900  || cls_loss: 2.4162  Timer: 0.0754 sec.
iter 600 || lr: 0.001000  || loc_loss: 8.4746  || cls_loss: 2.3504  Timer: 0.0717 sec.
iter 700 || lr: 0.001000  || loc_loss: 10.1768  || cls_loss: 2.4886  Timer: 0.0715 sec.
iter 800 || lr: 0.001000  || loc_loss: 9.3385  || cls_loss: 2.4153  Timer: 0.0939 sec.
iter 900 || lr: 0.001000  || loc_loss: 9.3838  || cls_loss: 2.3224  Timer: 0.0657 sec.
iter 1000 || lr: 0.001000  || loc_loss: 10.9251  || cls_loss: 2.3976  Timer: 0.0652 sec.
iter 1100 || lr: 0.001000  || loc_loss: 8.4373  || cls_loss: 2.4217  Timer: 0.0834 sec.
iter 1200 || lr: 0.001000  || loc_loss: 8.3849  || cls_loss: 2.3052  Timer: 0.0714 sec.
iter 1300 || lr: 0.001000  || loc_loss: 6.1952  || cls_loss: 2.2438  Timer: 0.0715 sec.
iter 1400 || lr: 0.001000  || loc_loss: 7.4307  || cls_loss: 2.3292  Timer: 0.0717 sec.
iter 1500 || lr: 0.001000  || loc_loss: 9.2095  || cls_loss: 2.2168  Timer: 0.0703 sec.
iter 1600 || lr: 0.001000  || loc_loss: 6.6450  || cls_loss: 2.2599  Timer: 0.0700 sec.
iter 1700 || lr: 0.001000  || loc_loss: 8.3321  || cls_loss: 2.2259  Timer: 0.0761 sec.
iter 1800 || lr: 0.001000  || loc_loss: 7.5145  || cls_loss: 2.1506  Timer: 0.0726 sec.
iter 1900 || lr: 0.001000  || loc_loss: 7.4241  || cls_loss: 2.2740  Timer: 0.0921 sec.
iter 2000 || lr: 0.001000  || loc_loss: 5.8038  || cls_loss: 2.1889  Timer: 0.0779 sec.
iter 2100 || lr: 0.001000  || loc_loss: 10.8366  || cls_loss: 2.3315  Timer: 0.0683 sec.
iter 2200 || lr: 0.001000  || loc_loss: 8.2344  || cls_loss: 2.3962  Timer: 0.0659 sec.
iter 2300 || lr: 0.001000  || loc_loss: 6.9351  || cls_loss: 2.3856  Timer: 0.0644 sec.
iter 2400 || lr: 0.001000  || loc_loss: 8.2638  || cls_loss: 2.3075  Timer: 0.0637 sec.
iter 2500 || lr: 0.001000  || loc_loss: 7.0926  || cls_loss: 2.2249  Timer: 0.0614 sec.
iter 2600 || lr: 0.001000  || loc_loss: 6.2196  || cls_loss: 2.2264  Timer: 0.0713 sec.
iter 2700 || lr: 0.001000  || loc_loss: 5.7859  || cls_loss: 2.2319  Timer: 0.0708 sec.
iter 2800 || lr: 0.001000  || loc_loss: 7.3556  || cls_loss: 2.2141  Timer: 0.0675 sec.
iter 2900 || lr: 0.001000  || loc_loss: 6.4341  || cls_loss: 2.2537  Timer: 0.0976 sec.
iter 3000 || lr: 0.001000  || loc_loss: 5.9400  || cls_loss: 2.1846  Timer: 0.0632 sec.
iter 3100 || lr: 0.001000  || loc_loss: 7.7801  || cls_loss: 2.1536  Timer: 0.0629 sec.
iter 3200 || lr: 0.001000  || loc_loss: 7.3367  || cls_loss: 2.2240  Timer: 0.0619 sec.
iter 3300 || lr: 0.001000  || loc_loss: 8.6413  || cls_loss: 2.2685  Timer: 0.0696 sec.
iter 3400 || lr: 0.001000  || loc_loss: 5.6746  || cls_loss: 2.2759  Timer: 0.0840 sec.
iter 3500 || lr: 0.001000  || loc_loss: 6.2041  || cls_loss: 2.1619  Timer: 0.0625 sec.
iter 3600 || lr: 0.001000  || loc_loss: 5.8642  || cls_loss: 2.3638  Timer: 0.0721 sec.
iter 3700 || lr: 0.001000  || loc_loss: 8.1869  || cls_loss: 2.1509  Timer: 0.0679 sec.
iter 3800 || lr: 0.001000  || loc_loss: 7.6352  || cls_loss: 2.2166  Timer: 0.0691 sec.
iter 3900 || lr: 0.001000  || loc_loss: 7.7631  || cls_loss: 2.2332  Timer: 0.0731 sec.
iter 4000 || lr: 0.001000  || loc_loss: 6.6591  || cls_loss: 2.0619  Timer: 0.0696 sec.
iter 4100 || lr: 0.001000  || loc_loss: 6.3797  || cls_loss: 2.2435  Timer: 0.0757 sec.
iter 4200 || lr: 0.001000  || loc_loss: 6.9928  || cls_loss: 2.4177  Timer: 0.0804 sec.
iter 4300 || lr: 0.001000  || loc_loss: 6.6575  || cls_loss: 2.2383  Timer: 0.0958 sec.
iter 4400 || lr: 0.001000  || loc_loss: 9.0115  || cls_loss: 2.1492  Timer: 0.0648 sec.
iter 4500 || lr: 0.001000  || loc_loss: 5.2097  || cls_loss: 1.9460  Timer: 0.0774 sec.
